ordnerpfad;import;shapes;titel_nice;beschreibung;referenz;theme;keyword
BI\InteressanteOrte;True;;;;https://models.geo.bs.ch/Modellbeschreibungen/BI_BaselInfo_KGDM_V1_0.pdf;"Tourismus; Geographie; Kultur, Medien, Informationsgesellschaft, Sport";"Fussgänger; Sehenswürdigkeit; Museum; Kultureinrichtungen"
BS\PLZOrtschaft;True;"PL_PLZ6;PL_Ortschaft";"Postleitzahlenkreise;Gemeinden";";";;"Geographie; Verwaltung; Statistische Grundlagen";"Post; Postleitzahl; Brief; Paket"
BW\Allmendbewilligungen;True;;;;;"Öffentliche Ordnung und Sicherheit; Bau- und Wohnungswesen";"Baustelle; Plakat; Anlass; Fest; Party; Umleitung"
DF\Defibrillatoren;True;;;;https://models.geo.bs.ch/Modellbeschreibungen/DF_Defibrillatoren_KGDM_V1_0.pdf;Gesundheit;"Notfall; Reanimation; CPR; Herz; Lunge; Wiederbelebung; Standort"
EL\Elternberatung;True;;;;https://models.geo.bs.ch/Modellbeschreibungen/EL_Elternberatung_KGDM_V1_0.pdf;"Gesundheit; Bevölkerung";"Kind; Baby; Mutter; Vater; Krankheit; Gesundheit"
ES\Entsorgungsstellen;True;;;;;Öffentliche Ordnung und Sicherheit;"Recycling; Wiederverwertung; Abfall; Müll; Entsorgen"
GO\GueteklassenOeV;True;;;;;Mobilität und Verkehr;"Abdeckung; Tram; Bus; Distanz"
HS\Hundesignalisation;True;;;;;Öffentliche Ordnung und Sicherheit;"Hund; Verbot; Leine; Leinenpflicht"
KJ\KinderJugendangebote;True;;;;https://models.geo.bs.ch/Modellbeschreibungen/KJ_KinderJugendangebote_KGDM_V1_0.pdf;"Kultur, Medien, Informationsgesellschaft, Sport; Bevölkerung";"Sport; Turnen; Jugenarbeit; Freizeit; Treffpunkt"
NK\Invasive_Neophyten;True;;;;;Raum und Umwelt;"Pflanzen; Einheimisch; Asuwärtig; Einwanderung; Verdrängen; Invasion; Naturschutz"
PW\PolitischeWahlkreise;True;;;;;Politik;"Abstimmung; Wahl; Stimmberechtigt"
QT\Quartiertreffpunkte;True;;;;https://models.geo.bs.ch/Modellbeschreibungen/QT_Quartiertreffpunkte_KGDM_V1_0.pdf;"Kultur, Medien, Informationsgesellschaft, Sport; Bevölkerung";"Raum; Anlass; Party; Fest; Treffpunkt; Niederschwellig"
RC\Recyclingstellen;True;;;;https://models.geo.bs.ch/Modellbeschreibungen/RC_Recyclingstellen_KGDM_V1_0.pdf;Öffentliche Ordnung und Sicherheit;"Recycling; Wiederverwertung; Abfall; Müll; Entsorgen"
SC\Schulstandorte;True;;;;https://models.geo.bs.ch/Modellbeschreibungen/SC_Schulstandorte_KGDM_V1_0.pdf;"Bildung und Wissenschaft; Bevölkerung";"Schule; Lernen; Schüler; Schülerinnen; Lehrer; Lehrerinnen"
SG\SanitaereAnlagen;True;;;;;Öffentliche Ordnung und Sicherheit;"WC; Toilette; Abort"
SO\Schulstandorte;True;;;;;"Bildung und Wissenschaft; Bevölkerung";"Schule; Lernen; Schüler; Schülerinnen; Lehrer; Lehrerinnen"
VO\Velorouten_Alltag;True;;;;;Mobilität und Verkehr;"Velo; Fahrrad; Veloweg; E-Bike; Pedelec"
VO\Velorouten_touristisch;True;;;;;Mobilität und Verkehr;"Velo; Fahrrad; Veloweg; E-Bike; Pedelec"
VO\Velostadtplan;True;;;;;Mobilität und Verkehr;"Velo; Fahrrad; Veloweg; E-Bike; Pedelec"
VZ\Verkehrszaehldaten;True;;;;https://models.geo.bs.ch/Modellbeschreibungen/VZ_VerkehrszaeldatenLV95.pdf;Mobilität und Verkehr;"Auto; Velo; Fussgänger; Lastwagen; LKW; Anhänger"
WE\Bezirk;True;;;;https://models.geo.bs.ch/Modellbeschreibungen/WE_StatistischeRaumeinheiten_KGDM_V1_0.pdf;Statistische Grundlagen;"Statistik; Einteilung; Wohnbezirk"
WE\Block;True;;;;https://models.geo.bs.ch/Modellbeschreibungen/WE_StatistischeRaumeinheiten_KGDM_V1_0.pdf;Statistische Grundlagen;"Statistik; Einteilung; Wohnblock"
WE\Blockseite;True;;;;https://models.geo.bs.ch/Modellbeschreibungen/WE_StatistischeRaumeinheiten_KGDM_V1_0.pdf;Statistische Grundlagen;"Statistik; Einteilung; Wohnblockseite"
WE\Wohnviertel;True;;;;https://models.geo.bs.ch/Modellbeschreibungen/WE_StatistischeRaumeinheiten_KGDM_V1_0.pdf;Statistische Grundlagen;"Statistik; Einteilung; Wohnviertel"
