name;label;description
id_angebot;ID der Angebote;Eindeutiger Identifikator
name;Name;Name des Sportangebots
kategorie;Kategorie;Kategorien unterschiedlicher Sport- und Bewegungsanlagen
beschreibu;Beschreibung;Beschreibung des Sportangebots
strassenr;Strassennummer;Strassenname und Hausnummer
plz;Postleitzahl;Postleitzahl
ort;Ort;Ort
link;Link;Weitere Informationen
zustaendig;Zustaendigkeit;Zuständigkeit für das Sportangebot
bemerkung;Bemerkung;Bemerkung
baselinfo;Baselinfo;Gibt Relevanz für das Fussgängerorientierungssystem Basel Info an
