name;label;description
hst_nr;Haltestellennummer;Eindeutiger Identifikator der Haltestellen nach BAV
name;Haltestellenname;Haltestellenname nach BAV
angezname;Angezeigter_Name;Angezeigter Name der Haltestelle
tu_nr;Transportunternehmen_Nummer;Nummer des Transportunternehmens nach BAV
tu;Transportunternehmen_Name;Name des Transportunternehmens
gde_nr;Gemeindenummer;Gemeindenummer nach BFS
gde;Gemeinde_Name;Gemeinde
kt;Gebiet;Gebiet. Wertebereich: Aargau (AG), Basel-Landschaft (BL), Basel-Stadt (BS), Deutschland (D), Frankreich (F), Jura (JU), Solothurn (SO).
hoehe;Höhe;Höhe in m ü. M. (Angabe nach BAV)
hstart;Haltestellenart;Art der Haltestelle
art;Haltestellentyp;Typ der Haltestelle
Map Links;Zum Objekt navigieren;URL zur Navigation des Standorts in einer Karten-App
